id,trial,variable,order,time-ms,delta-ms,time-sec,left-valid,left-x,left-y,left-z,left-pitch,left-roll,left-yaw,left-direction-x,left-direction-y,left-direction-z,left-speed-x,left-speed-y,left-speed-z,left-grab,right-valid,right-x,right-y,right-z,right-pitch,right-roll,right-yaw,right-direction-x,right-direction-y,right-direction-z,right-speed-x,right-speed-y,right-speed-z,right-grab,dynbox,dynsphere
0,A,T,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
0,A,T,0,100.30000001192093,100.30000001192093,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
0,A,T,0,106.60000002384184,6.300000011920929,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,123.2000000476837,16.600000023841858,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
0,A,T,0,140.5,17.299999952316284,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,156.90000003576276,16.400000035762787,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,173.5,16.599999964237213,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,190.10000002384183,16.600000023841858,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,206.8000000119209,16.69999998807907,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,223.6000000238418,16.80000001192093,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,240.20000004768366,16.600000023841858,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,256.90000003576273,16.69999998807907,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,273.49999999999994,16.599999964237213,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,290.60000002384186,17.100000023841858,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,307.10000002384186,16.5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,323.7000000476837,16.600000023841858,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,340.30000001192093,16.599999964237213,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,357.00000000000006,16.69999998807907,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,373.7000000476838,16.700000047683716,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,390.50000000000006,16.799999952316284,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,407.100000023842,16.600000023841858,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
0,A,T,0,423.80000001192104,16.69999998807907,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y
