​ A-Frame:error This HTML file is currently being served via the file:// protocol. Assets, textures, and models WILL NOT WORK due to cross-origin policy! Please use a local or hosted server: https://aframe.io/docs/0.5.0/introduction/getting-started.html#using-a-local-server. 
​ A-Frame Version: 1.1.0 (Date 2020-12-03, Commit #8aefd214)
​ THREE Version (https://github.com/supermedium/three.js): ^0.123.1
​ WebVR Polyfill Version: ^0.10.12
​ ~id,trial,time-ms,delta-ms,time-sec,left-valid,left-x,left-y,left-z,left-pitch,left-roll,left-yaw,left-direction-x,left-direction-y,left-direction-z,left-speed-x,left-speed-y,left-speed-z,left-grab,right-valid,right-x,right-y,right-z,right-pitch,right-roll,right-yaw,right-direction-x,right-direction-y,right-direction-z,right-speed-x,right-speed-y,right-speed-z,right-grab
​ ~0,0,613.1999999880792,16.5,0,Y,-0.054126213,0.02886506699999996,-0.27139297500000004,1.0816583113075793,-2.9765743641175053,0.30727686103583474,0.147471,0.8730869999999998,-0.46472800000000014,46.98587,-37.55965400000001,-16.067128999999994,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,630.0000000000001,16.80000001192093,0,Y,-0.053734379,0.028133695999999958,-0.27140383900000004,1.0585596706012141,-3.0118563780482046,0.31071665411431326,0.155475,0.8610509999999999,-0.48416800000000015,17.64473,-32.528759,2.858097000000007,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,647.0000000000001,17,0,Y,-0.053504799,0.02761514299999996,-0.27100277700000003,1.03490778672927,-3.0510173950791586,0.3143556561544569,0.163775,0.8482059999999999,-0.5037110000000002,11.037782,-26.74457599999999,30.856846000000008,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,663.300000011921,16.30000001192093,0,Y,-0.053365238,0.02730440299999996,-0.27028956600000004,1.0185853360002883,-3.0775118824912453,0.32684766941427873,0.175086,0.8382159999999999,-0.5164680000000003,6.322989,-12.57689999999999,44.523788,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,680.100000023842,16.80000001192093,0,Y,-0.053347926999999996,0.027354258999999957,-0.269274338,1.0073500013049232,-3.0978650599952764,0.34632678010028084,0.189259,0.8301399999999999,-0.5244500000000002,-0.97244,10.925784000000014,60.056175,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,696.6999999880792,16.599999964237213,0,Y,-0.053547950999999996,0.027851041999999958,-0.268138092,1.0007327281035727,-3.120955651702285,0.36993545365476865,0.204846,0.8240139999999999,-0.5282410000000002,-15.079752,32.723545000000016,65.61592899999998,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,713.600000023842,16.900000035762787,0,Y,-0.05409727500000001,0.028622088999999958,-0.266771072,0.9937868438246958,3.1022646347573812,0.38695302127816433,0.217001,0.8181269999999999,-0.5325210000000002,-34.45002,42.38088200000002,80.58367899999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,730.1000000238419,16.5,0,Y,-0.054468681,0.02898215699999996,-0.265899323,0.9924275299911836,3.0678766829603434,0.39270305659557847,0.220845,0.8166799999999999,-0.5331610000000002,-41.01199,39.760063000000024,96.26252699999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,746.9000000357629,16.80000001192093,0,Y,-0.055505859000000005,0.02975694699999996,-0.26424765,0.993482059387822,3.020420494429663,0.39713369091438183,0.223137,0.8168049999999999,-0.5320150000000002,-63.915634,45.604595000000025,91.72727199999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,763.6000000238419,16.69999998807907,0,Y,-0.056210949,0.03020821999999996,-0.262690674,0.9904294289187127,2.992967028508396,0.39826211198995964,0.224803,0.8148569999999999,-0.5342960000000002,-32.575851,23.17955600000002,84.249603,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,780.1999999880791,16.599999964237213,0,Y,-0.056287318999999995,0.030795447999999958,-0.260781982,0.9912387163187951,2.966041839016744,0.40417882017884277,0.228073,0.8146529999999998,-0.5332200000000002,-4.765251,40.47518500000003,118.38400999999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
